bit_array,bit_string,integer_array,probability,fval,is_feasible,is_optimal
[1 0 1 1 0 0 0 1 1 1 0 1],101100011101,[1. 3. 0. 2. 3. 2.],0.13109114115483128,46.00000000000003,True,False
[1 0 1 1 0 0 0 1 0 1 1 1],101100010111,[1. 3. 0. 2. 2. 3.],0.12387685680714942,34.00000000000003,True,False
[1 1 1 0 0 0 0 1 0 1 1 1],111000010111,[3. 1. 0. 2. 2. 3.],0.10777627117814792,34.00000000000003,True,False
[1 1 1 0 0 0 0 1 1 1 0 1],111000011101,[3. 1. 0. 2. 3. 2.],0.09930257296316286,42.00000000000003,True,False
[1 0 1 1 0 0 0 0 0 1 1 1],101100000111,[1. 3. 0. 0. 2. 3.],0.07796961404277099,29.00000000000003,True,False
[1 1 1 0 0 0 0 0 0 1 1 1],111000000111,[3. 1. 0. 0. 2. 3.],0.07124225411725021,27.00000000000003,True,True
[1 0 1 1 0 0 0 0 1 1 0 1],101100001101,[1. 3. 0. 0. 3. 2.],0.0689950169273603,41.00000000000003,True,False
[1 1 1 0 0 0 0 0 1 1 0 1],111000001101,[3. 1. 0. 0. 3. 2.],0.042483255762661876,35.00000000000003,True,False
[1 0 1 1 0 1 0 1 0 1 1 1],101101010111,[1. 3. 2. 2. 2. 3.],0.025592388337741252,41.00000000000003,True,False
[1 1 1 0 0 0 1 1 0 1 1 1],111000110111,[3. 1. 0. 3. 2. 3.],0.017833348851785124,54.00000000000003,True,False
[1 1 1 0 0 0 1 1 1 1 0 1],111000111101,[3. 1. 0. 3. 3. 2.],0.017111546018339942,62.00000000000003,True,False
[1 0 1 1 0 0 1 0 0 1 1 1],101100100111,[1. 3. 0. 1. 2. 3.],0.015363210858526927,41.00000000000003,True,False
[1 0 1 1 0 0 1 0 1 1 0 1],101100101101,[1. 3. 0. 1. 3. 2.],0.015133503881573975,53.00000000000003,True,False
[1 0 1 1 1 0 0 1 0 1 1 1],101110010111,[1. 3. 1. 2. 2. 3.],0.014713746580736311,50.00000000000003,True,False
[1 0 1 1 0 1 0 1 1 1 0 1],101101011101,[1. 3. 2. 2. 3. 2.],0.01395388254713451,49.00000000000003,True,False
[1 0 1 1 0 1 0 0 0 1 1 1],101101000111,[1. 3. 2. 0. 2. 3.],0.010866843858402638,36.00000000000003,True,False
[1 1 1 0 0 1 0 1 0 1 1 1],111001010111,[3. 1. 2. 2. 2. 3.],0.009600907245872257,41.00000000000003,True,False
[1 0 1 1 1 0 0 0 0 1 1 1],101110000111,[1. 3. 1. 0. 2. 3.],0.008082752198135918,45.00000000000003,True,False
[0 1 0 1 0 0 0 0 1 1 0 1],010100001101,[2. 2. 0. 0. 3. 2.],0.008020961759054004,68.4,True,False
[1 0 1 1 0 0 1 1 1 1 0 1],101100111101,[1. 3. 0. 3. 3. 2.],0.0079116729768198,62.00000000000003,True,False
[1 0 1 1 1 0 0 1 1 1 0 1],101110011101,[1. 3. 1. 2. 3. 2.],0.0073303771175658484,54.00000000000003,True,False
[1 1 1 0 0 1 0 0 0 1 1 1],111001000111,[3. 1. 2. 0. 2. 3.],0.0065987719208328195,34.00000000000003,True,False
[0 1 0 1 0 1 0 0 1 1 0 1],010101001101,[2. 2. 2. 0. 3. 2.],0.006593079752879412,71.4,True,False
[1 0 1 1 0 0 1 1 0 1 1 1],101100110111,[1. 3. 0. 3. 2. 3.],0.006125216295974964,50.00000000000003,True,False
[1 1 1 0 1 0 0 1 0 1 1 1],111010010111,[3. 1. 1. 2. 2. 3.],0.00608701359394963,50.00000000000003,True,False
[1 1 1 0 1 1 0 1 0 1 1 1],111011010111,[3. 1. 3. 2. 2. 3.],0.005501965386989456,61.00000000000003,True,False
[0 1 0 1 0 1 0 0 0 1 1 1],010101000111,[2. 2. 2. 0. 2. 3.],0.005313576330428745,71.4,True,False
[1 1 1 0 1 0 0 0 0 1 1 1],111010000111,[3. 1. 1. 0. 2. 3.],0.004724945771698816,43.00000000000003,True,False
[1 0 1 1 0 1 1 0 0 1 1 1],101101100111,[1. 3. 2. 1. 2. 3.],0.004264514120599604,48.00000000000003,True,False
[1 1 1 0 0 0 1 0 0 1 1 1],111000100111,[3. 1. 0. 1. 2. 3.],0.004213511928872088,43.00000000000003,True,False
